epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,655.88,0.47814,0.8328,0.88655,0.9569,0.60151,0.71567,0.69602,0.58662,0.59871,0.70986,0.68695,0.55981,0.55815,1.25702,1.12169,1.04554,0.000354691,0.000354691,0.000354691
31,677.864,0.47942,0.8264,0.85813,0.95299,0.64849,0.66839,0.68891,0.58329,0.64545,0.66393,0.67506,0.55536,0.55014,1.30652,1.10835,1.03812,0.000338198,0.000338198,0.000338198
32,699.792,0.45483,0.81445,0.88606,0.94006,0.65166,0.61072,0.65749,0.56475,0.66089,0.59947,0.64721,0.53696,0.53819,1.27651,1.1689,1.04036,0.000321705,0.000321705,0.000321705
33,721.833,0.44792,0.80159,0.83877,0.93776,0.56973,0.74358,0.69714,0.59209,0.65938,0.62116,0.68668,0.56039,0.53142,1.21876,1.05948,1.04661,0.000305211,0.000305211,0.000305211
34,743.756,0.45394,0.77251,0.8341,0.94472,0.69366,0.6218,0.70215,0.58843,0.68952,0.61867,0.69278,0.56822,0.55687,1.20957,1.16705,1.04043,0.000288718,0.000288718,0.000288718
35,765.67,0.44542,0.7532,0.79804,0.9374,0.6559,0.656,0.69176,0.5828,0.65309,0.65354,0.68331,0.55957,0.59548,1.31367,1.12193,1.09018,0.000272224,0.000272224,0.000272224
36,787.545,0.43089,0.74153,0.78054,0.93152,0.61811,0.70376,0.69107,0.58673,0.61506,0.69317,0.68218,0.56132,0.54397,1.22504,1.13215,1.0361,0.000255731,0.000255731,0.000255731
37,809.5,0.42866,0.73518,0.77445,0.93088,0.71256,0.58681,0.68764,0.59339,0.70416,0.58357,0.67638,0.55576,0.51917,1.29029,1.05053,1.02656,0.000239238,0.000239238,0.000239238
38,831.507,0.42486,0.72502,0.73364,0.92474,0.68517,0.64648,0.70524,0.6067,0.68326,0.64395,0.69305,0.57108,0.51962,1.25964,1.06826,1.02701,0.000222744,0.000222744,0.000222744
39,853.537,0.40397,0.68323,0.70728,0.91285,0.6312,0.70396,0.70915,0.60359,0.62743,0.699,0.69861,0.57714,0.52389,1.20851,1.00577,1.03968,0.000206251,0.000206251,0.000206251
40,875.581,0.41113,0.66515,0.709,0.92384,0.66333,0.70124,0.71093,0.60922,0.65923,0.6878,0.69978,0.58106,0.56539,1.22141,1.07023,1.11376,0.000189757,0.000189757,0.000189757
41,898.178,0.34529,0.59138,0.48039,0.90109,0.70337,0.67267,0.70946,0.611,0.69952,0.65711,0.69833,0.58119,0.53748,1.2393,1.07117,1.04391,0.000173264,0.000173264,0.000173264
42,920.125,0.33206,0.562,0.44447,0.88762,0.6736,0.69,0.68437,0.58781,0.66755,0.68694,0.67299,0.55781,0.52477,1.27804,1.10554,1.04597,0.000156771,0.000156771,0.000156771
43,941.941,0.31459,0.53634,0.41616,0.86986,0.69728,0.6679,0.70928,0.614,0.69,0.66215,0.7,0.57698,0.49986,1.24076,1.05503,1.02563,0.000140277,0.000140277,0.000140277
44,964.666,0.30962,0.50943,0.39324,0.86326,0.66639,0.67659,0.69604,0.60293,0.70295,0.64288,0.68514,0.57271,0.53903,1.22318,1.11243,1.09797,0.000123784,0.000123784,0.000123784
45,986.393,0.30762,0.49884,0.38057,0.87725,0.66048,0.70252,0.71097,0.61799,0.65486,0.6948,0.70131,0.58798,0.54151,1.22856,1.10992,1.08873,0.00010729,0.00010729,0.00010729
46,1008.25,0.28891,0.47296,0.35781,0.85919,0.73725,0.63644,0.71201,0.6178,0.73125,0.63704,0.70413,0.58911,0.53504,1.23272,1.10036,1.08554,9.0797e-05,9.0797e-05,9.0797e-05
47,1030.16,0.27999,0.47138,0.334,0.84284,0.66252,0.71163,0.70235,0.60585,0.65572,0.70131,0.6883,0.57646,0.52105,1.24594,1.10357,1.08098,7.43036e-05,7.43036e-05,7.43036e-05
48,1051.86,0.27962,0.47069,0.31628,0.84817,0.67663,0.68673,0.70145,0.61716,0.66762,0.67852,0.68615,0.57943,0.48436,1.25692,1.09667,1.0234,5.78102e-05,5.78102e-05,5.78102e-05
49,1073.46,0.27073,0.45841,0.3066,0.84194,0.6884,0.67494,0.70303,0.61603,0.68241,0.66753,0.69217,0.58175,0.47634,1.25739,1.09262,1.02314,4.13168e-05,4.13168e-05,4.13168e-05
50,1095.22,0.25732,0.44946,0.29716,0.84049,0.72188,0.67892,0.70409,0.61733,0.71735,0.67396,0.69328,0.57714,0.47498,1.26215,1.09939,1.02065,2.48234e-05,2.48234e-05,2.48234e-05
